legId,searchDate,flightDate,startingAirport,destinationAirport,fareBasisCode,travelDuration,elapsedDays,isBasicEconomy,isRefundable,isNonStop,baseFare,totalFare,seatsRemaining,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
006241d254924f87051f37bc1ca2cb52,4/16/2022,4/17/2022,ATL,EWR,KA0NX0MQ,PT2H4M,1,FALSE,FALSE,TRUE,175.81,203.6,7,762,1650250500,2022-04-17T22:55:00.000-04:00,1650257940,2022-04-18T00:59:00.000-04:00,EWR,ATL,Delta,DL,Airbus A320,7440,762,coach
89fa8727391c724dc3ef1ad359abd40c,4/16/2022,4/17/2022,ATL,EWR,KA0NX0MQ,PT2H5M,0,FALSE,FALSE,TRUE,175.81,203.6,5,762,1650214740,2022-04-17T12:59:00.000-04:00,1650222240,2022-04-17T15:04:00.000-04:00,EWR,ATL,Delta,DL,Airbus A320,7500,762,coach
3064c2c1fad6007662bb2f6c2cd9606e,4/16/2022,4/17/2022,ATL,EWR,KA0NX0MQ,PT2H7M,0,FALSE,FALSE,TRUE,175.81,203.6,9,762,1650243240,2022-04-17T20:54:00.000-04:00,1650250860,2022-04-17T23:01:00.000-04:00,EWR,ATL,Delta,DL,Boeing 737-800,7620,762,coach
34a9876d0d72a824175882706c19c9e9,4/16/2022,4/17/2022,ATL,EWR,KA0NX0MQ,PT2H9M,0,FALSE,FALSE,TRUE,175.81,203.6,5,762,1650226800,2022-04-17T16:20:00.000-04:00,1650234540,2022-04-17T18:29:00.000-04:00,EWR,ATL,Delta,DL,Airbus A320,7740,762,coach
1b7bd5333eb7342be91503e9980a26d6,4/16/2022,4/17/2022,ATL,EWR,KA0NX0MQ,PT2H11M,0,FALSE,FALSE,TRUE,175.81,203.6,6,762,1650220680,2022-04-17T14:38:00.000-04:00,1650228540,2022-04-17T16:49:00.000-04:00,EWR,ATL,Delta,DL,Airbus A320,7860,762,coach
9cf3437467baef97dabfee09b53aeb7c,4/16/2022,4/17/2022,ATL,EWR,WAA0AHBN,PT2H19M,0,TRUE,FALSE,TRUE,175.81,203.6,9,762,1650244980,2022-04-17T21:23:00.000-04:00,1650253320,2022-04-17T23:42:00.000-04:00,EWR,ATL,United,UA,Airbus A319,8340,762,coach
19f384ebb4b1d2589b95ad23c83f215d,4/16/2022,4/17/2022,ATL,EWR,WAA0AHBN,PT2H28M,0,TRUE,FALSE,TRUE,175.81,203.6,9,762,1650239520,2022-04-17T19:52:00.000-04:00,1650248400,2022-04-17T22:20:00.000-04:00,EWR,ATL,United,UA,Embraer 170,8880,762,coach
7d33b8fe19b4e77dcf734064ea53d071,4/16/2022,4/17/2022,ATL,EWR,G0AJZSN1,PT5H53M,0,FALSE,FALSE,FALSE,171.16,206.1,2,773,1650193200||1650208200,2022-04-17T07:00:00.000-04:00||2022-04-17T11:10:00.000-04:00,1650198060||1650214380,2022-04-17T08:21:00.000-04:00||2022-04-17T12:53:00.000-04:00,CLT||EWR,ATL||CLT,American Airlines||American Airlines,AA||AA,Airbus A319||Boeing 737-800,4860||6180,228||545,coach||coach
008e2e014fa6ae601102c6a15d34c398,4/16/2022,4/17/2022,ATL,EWR,G0AJZSN1,PT5H43M,0,FALSE,FALSE,FALSE,171.16,207.6,1,1320,1650232800||1650245760,2022-04-17T18:00:00.000-04:00||2022-04-17T20:36:00.000-05:00,1650240660||1650253380,2022-04-17T19:11:00.000-05:00||2022-04-17T23:43:00.000-04:00,ORD||EWR,ATL||ORD,American Airlines||American Airlines,AA||AA,Embraer 175||Boeing 737-800,7860||7620,600||720,coach||coach
d3128a5634d0144c94b0d3331fa5e004,4/16/2022,4/17/2022,ATL,EWR,G0AJZSN1,PT6H21M,0,FALSE,FALSE,FALSE,171.16,207.6,1,1320,1650220740||1650236340,2022-04-17T14:39:00.000-04:00||2022-04-17T17:59:00.000-05:00,1650228840||1650243600,2022-04-17T15:54:00.000-05:00||2022-04-17T21:00:00.000-04:00,ORD||EWR,ATL||ORD,American Airlines||American Airlines,AA||AA,Embraer 175||Boeing 737-800,8100||7260,600||720,coach||coach
